sample,step,energy_ha,mean_ha
1,0,-2.52487277341649,-2.52487277341649
2,1,-2.52487277341649,-2.52487277341649
3,2,-2.5388807223176255,-2.529542089716869
4,3,-2.5388807223176255,-2.531876747867058
5,4,-2.5388807223176255,-2.5332775427571717
6,5,-2.5388807223176255,-2.5342114060172474
7,6,-2.5460142137551185,-2.535897521408372
8,7,-2.5047990338246473,-2.532010210460406
9,8,-2.509858743546709,-2.5295489363588843
10,9,-2.509858743546709,-2.527579917077667
11,10,-2.509858743546709,-2.525968901302125
12,11,-2.5414920421347915,-2.527262496371514
13,12,-2.691419289727492,-2.5398899420142818
14,13,-2.5497450794998437,-2.5405938804061075
15,14,-2.490788106685865,-2.5372734954914247
16,15,-2.4989523929971806,-2.5348784265855344
17,16,-2.4989523929971806,-2.532765130492102
18,17,-2.4989523929971806,-2.5308866450757175
19,18,-2.4989523929971806,-2.5292058949663208
20,19,-3.034249302373487,-2.554458065336679
21,20,-3.034249302373487,-2.5773052671003365
22,21,-3.034249302373487,-2.5980754505218435
23,22,-3.034249302373487,-2.617039531037132
24,23,-3.034249302373487,-2.63442327150948
25,24,-3.034249302373487,-2.6504163127440403
26,25,-3.034249302373487,-2.6651791200374806
27,26,-3.034249302373487,-2.6788483860499253
28,27,-3.199067917316219,-2.6974276550237213
29,28,-3.0062077307756323,-2.7080752438427527
30,29,-3.0062077307756323,-2.718012993407182
31,30,-3.0062077307756323,-2.7273095978384223
32,31,-2.6097936152436225,-2.723637223382335
33,32,-2.500449279378195,-2.7168739523519063
34,33,-2.500449279378195,-2.710508520793856
35,34,-2.500449279378195,-2.7045068281819797
36,35,-2.500449279378195,-2.6988385629374303
37,36,-2.48314461204796,-2.6930089966971744
38,37,-2.48314461204796,-2.6874862497327214
39,38,-2.48314461204796,-2.6822467205613174
40,39,-2.48314461204796,-2.6772691678484835
41,40,-2.48314461204796,-2.672534422585056
42,41,-2.48314461204796,-2.6680251413817917
43,42,-2.5694852564051884,-2.6657335161497775
44,43,-2.5694852564051884,-2.663546055701037
45,44,-2.5694852564051884,-2.6614558157166845
46,45,-2.5828832361943834,-2.659747716161852
47,46,-2.5828832361943834,-2.658112301694459
48,47,-2.5828832361943834,-2.6565450294965407
49,48,-2.6625815095220737,-2.6566682229664496
50,49,-2.6625815095220737,-2.656786488697562
51,50,-2.641657254744696,-2.6564898370514274
52,51,-2.641657254744696,-2.6562045950839903
53,52,-2.537396656776177,-2.653962935870635
54,53,-2.537396656776177,-2.65180430107259
55,54,-2.537396656776177,-2.6497241620853824
56,55,-2.5044383642538013,-2.64712977283839
57,56,-2.5044383642538013,-2.6446264147930463
58,57,-2.768009162847499,-2.646753703552606
59,58,-2.570344105925191,-2.6454586256267176
60,59,-2.570344105925191,-2.6442067169650256
61,60,-2.570344105925191,-2.6429958544889627
62,61,-2.570344105925191,-2.641824052092773
63,62,-2.5231178724034327,-2.639939827018339
64,63,-2.5078842691333496,-2.637876458926386
65,64,-2.5078842691333496,-2.6358765790834164
66,65,-2.5078842691333496,-2.633937301659931
67,66,-2.5048430040254974,-2.632010521098223
68,67,-2.5048430040254974,-2.630140410553036
69,68,-2.5050215454893188,-2.6283270936680547
70,69,-2.496233646084182,-2.6264400444168565
71,70,-2.494195140824565,-2.6245774401409085
72,71,-2.494195140824565,-2.622766574872626
73,72,-2.501421103075277,-2.621104308135676
74,73,-2.4865615614072984,-2.6192861629096167
75,74,-2.4865615614072984,-2.6175165015562523
76,75,-2.4865615614072984,-2.6157934102385028
77,76,-2.4865615614072984,-2.6141150745393964
78,77,-2.4865615614072984,-2.612479773088985
79,78,-2.4865615614072984,-2.6108858716752925
80,79,-3.0443857693628713,-2.616304620396387
81,80,-3.0443857693628713,-2.6215895728527636
82,81,-3.0443857693628713,-2.626745624029716
83,82,-2.9598593925032346,-2.630759042926987
84,83,-3.0261068512500118,-2.635465564454642
85,84,-3.0261068512500118,-2.6400613442992933
86,85,-3.0261068512500118,-2.644550245542906
87,86,-3.0261068512500118,-2.6489359536544823
88,87,-3.0261068512500118,-2.653221986581704
89,88,-3.0261068512500118,-2.657411704162247
90,89,-3.082052159893834,-2.6621299314481535
91,90,-3.0850292667120316,-2.6667771768906134
92,91,-3.3346743473622995,-2.6740369287435666
93,92,-3.3927352388349354,-2.6817648675617534
94,93,-3.3927352388349354,-2.6893283821497658
95,94,-3.3927352388349354,-2.696732664851715
96,95,-3.3927352388349354,-2.70398269166404
97,96,-3.3927352388349354,-2.7110832333874515
98,97,-3.3927352388349354,-2.7180388660960992
99,98,-3.3927352388349354,-2.724853980972249
100,99,-3.241451923785654,-2.730019960400383
101,100,-3.241451923785654,-2.735083643206178
102,101,-3.241451923785654,-2.74004803811382
103,102,-3.241451923785654,-2.7449160370038377
104,103,-3.241451923785654,-2.749690420530586
105,104,-3.241451923785654,-2.7543738634187296
106,105,-2.688057841150746,-2.7537482405671447
107,106,-3.1157048827548754,-2.7571310129240394
108,107,-3.1157048827548754,-2.760451141348399
109,108,-3.1157048827548754,-2.7637103499851556
110,109,-3.1157048827548754,-2.766910300283062
111,110,-3.386182071220393,-2.7724893252464615
112,111,-3.353336040657883,-2.7776754566340633
113,112,-3.353336040657883,-2.7827697980856017
114,113,-3.7149403784257604,-2.790946733000866
115,114,-3.7149403784257604,-2.798981460352387
116,115,-3.7149403784257604,-2.806877657921985
117,116,-3.642821517182024,-2.8140224772319
118,117,-3.642821517182024,-2.8210461979094434
119,118,-3.642821517182024,-2.827951872861314
120,119,-3.642821517182024,-2.8347424532306533
121,120,-3.642821517182024,-2.841420792602152
122,121,-3.642821517182024,-2.847989651000348
123,122,-3.814492595765678,-2.8558473985187653
124,123,-3.814492595765678,-2.8635784081739826
125,124,-3.5185082253158066,-2.868817846711117
126,125,-3.5185082253158066,-2.873974119557186
127,126,-3.3235378131239868,-2.877513991160074
128,127,-3.3235378131239868,-2.8809985522691672
129,128,-3.3235378131239868,-2.8844290891750184
130,129,-3.3235378131239868,-2.8878068485900106
131,130,-3.3235378131239868,-2.891133039158972
132,131,-3.3235378131239868,-2.894408832901131
133,132,-3.3235378131239868,-2.8976353665870174
134,133,-2.9635203358460904,-2.898127045462085
135,134,-2.8008238718018523,-2.8974062812127497
136,135,-2.8008238718018523,-2.8966961164376697
137,136,-2.7373313018497782,-2.8955328696158604
138,137,-2.7373313018497782,-2.8943864814436426
139,138,-2.7373313018497782,-2.8932565880652694
140,139,-2.7373313018497782,-2.892142836020873
141,140,-2.6136025492309223,-2.8901673729939943
142,141,-2.5161788785359347,-2.887533651202036
143,142,-2.549651420337382,-2.885170838398787
144,143,-2.549651420337382,-2.882840842440027
145,144,-2.549651420337382,-2.8805429843565604
146,145,-2.6901329087157473,-2.8792388057562808
147,146,-2.6901329087157473,-2.8779523710825354
148,147,-2.6901329087157473,-2.8766833206611384
149,148,-2.6901329087157473,-2.8754313044735853
150,149,-2.6901329087157473,-2.8741959818351996
151,150,-2.7353210838351893,-2.873276280523941
152,151,-2.84363653908547,-2.873081282225004
153,152,-2.84363653908547,-2.8728888329234383
154,153,-2.6891861270131523,-2.871695958209735
155,154,-2.6891861270131523,-2.8705184754278217
156,155,-2.6891861270131523,-2.8693560885790097
157,156,-2.718412432598762,-2.8683946640186258
158,157,-2.718412432598762,-2.867445409389386
159,158,-2.7053066200900178,-2.8664256685761824
160,159,-2.7053066200900178,-2.865418674523144
161,160,-2.560870072633243,-2.8635270683002254
162,161,-2.560870072633243,-2.8616588152405527
163,162,-2.560870072633243,-2.8598134855313053
164,163,-2.560870072633243,-2.8579906598429026
165,164,-2.560870072633243,-2.856189929011329
166,165,-2.560870072633243,-2.854410893731943
167,166,-2.560870072633243,-2.852653164264286
168,167,-2.560870072633243,-2.8509163601474343
169,168,-2.560870072633243,-2.849200109925457
170,169,-2.560870072633243,-2.8475040508825615
171,170,-2.560870072633243,-2.8458278287875363
172,171,-2.560870072633243,-2.8441710976471044
173,172,-2.560870072633243,-2.8425335194678336
174,173,-2.560870072633243,-2.8409147640262553
175,174,-2.560870072633243,-2.8393145086468667
176,175,-2.525732546632568,-2.8375327929536036
177,176,-2.525732546632568,-2.8357712096410554
178,177,-2.634431253542751,-2.8346400862921888
179,178,-2.634431253542751,-2.8335216011930298
180,179,-2.634431253542751,-2.832415543706084
181,180,-2.634431253542751,-2.831321707848828
182,181,-2.634431253542751,-2.8302398921658276
183,182,-2.634431253542751,-2.829169899605046
184,183,-2.8071846173302717,-2.8290504143752915
185,184,-2.8071846173302717,-2.8289322208777508
186,185,-2.8071846173302717,-2.828815298278033
187,186,-2.8071846173302717,-2.828699626187403
188,187,-2.540853879598861,-2.8271685317906554
189,188,-2.5264283395278353,-2.825577313842175
190,189,-2.5264283395278353,-2.82400284555631
191,190,-2.6605109765917243,-2.8231468671847675
192,191,-2.6605109765917243,-2.8222998052545956
193,192,-2.6605109765917243,-2.8214615211682594
194,193,-2.6605109765917243,-2.820631879185906
195,194,-2.6605109765917243,-2.81981074635209
196,195,-2.6605109765917243,-2.818997992424741
197,196,-2.504303185489599,-2.8174005568565423
198,197,-2.504303185489599,-2.8158192570011535
199,198,-2.504303185489599,-2.814253849606623
200,199,-2.514230098539058,-2.8127537308512855
201,200,-2.514230098539058,-2.8112685386507272
202,201,-2.5806706657880483,-2.810126965022694
203,202,-2.5806706657880483,-2.808996638425479
204,203,-2.5806706657880483,-2.8078773934615704
205,204,-3.395217272307317,-2.810742466041306
206,205,-3.147282341505467,-2.812376154757151
207,206,-3.147282341505467,-2.8139940590409593
208,207,-3.147282341505467,-2.815596406552808
